COMP1377;Sprout Seedling;DOI:10.1016/j.clpt.2005.03.010
COMP1377;Resin, Exudate, Sap;DOI:10.1016/j.clpt.2005.03.010
COMP1377;Leaf;DOI:10.1016/j.clpt.2005.03.010
COMP1377;Inflorescence;DOI:10.1016/j.clpt.2005.03.010
COMP1403;Plant;DOI:10.1016/j.clpt.2005.03.010
COMP367;Plant;DOI:10.1016/j.clpt.2005.03.010
COMP1404;Plant;DOI:10.1016/j.clpt.2005.03.010
COMP1405;Plant;DOI:10.1186/1758-2946-6-13
COMP32;Plant;DOI:10.1186/1758-2946-6-13
COMP1406;Plant;DOI:10.1186/1758-2946-6-13
COMP1407;Plant;DOI:10.1186/1758-2946-6-13
COMP259;Plant;DOI:10.1186/1758-2946-6-13
COMP198;Plant;DOI:10.1186/1758-2946-6-13
COMP53;Plant;DOI:10.1186/1758-2946-6-13
COMP28;Plant;DOI:10.1186/1758-2946-6-13
COMP18;Plant;DOI:10.1186/1758-2946-6-13
COMP285;Plant;DOI:10.1186/1758-2946-6-13
COMP14;Plant;DOI:10.1186/1758-2946-6-13
COMP151;Plant;DOI:10.1186/1758-2946-6-13
COMP1408;Plant;DOI:10.1186/1758-2946-6-13
COMP462;Plant;DOI:10.1186/1758-2946-6-13
COMP1134;Plant;DOI:10.1186/1758-2946-6-13
COMP501;Plant;DOI:10.1186/1758-2946-6-13
COMP27;Plant;DOI:10.1186/1758-2946-6-13
COMP136;Plant;DOI:10.1186/1758-2946-6-13
COMP136;Essential Oil;DOI:10.1186/1758-2946-6-13
COMP136;Leaf Essent. Oil;DOI:10.1186/1758-2946-6-13
COMP905;Plant;DOI:10.1186/1758-2946-6-13
COMP905;Essential Oil;DOI:10.1186/1758-2946-6-13
COMP905;Resin, Exudate, Sap;DOI:10.1186/1758-2946-6-13
COMP1409;Plant;DOI:10.1186/1758-2946-6-13
COMP612;Plant;DOI:10.1186/1758-2946-6-13
COMP1375;Plant;DOI:10.1186/1758-2946-6-13
COMP1410;Plant;DOI:10.1186/1758-2946-6-13
COMP1395;Fruit;DOI:10.1186/1758-2946-6-13
COMP1395;Seed;DOI:10.1186/1758-2946-6-13
COMP1395;Plant;DOI:10.1186/1758-2946-6-13
COMP1395;Sprout Seedling;DOI:10.1186/1758-2946-6-13
COMP1395;Bark;DOI:10.1186/1758-2946-6-13
COMP1395;Bud;DOI:10.1186/1758-2946-6-13
COMP1395;Shoot;DOI:10.1186/1758-2946-6-13
COMP1395;Flower Essent. Oil;DOI:10.1186/1758-2946-6-13
COMP1395;Resin, Exudate, Sap;DOI:10.1186/1758-2946-6-13
COMP1395;Root;DOI:10.1186/1758-2946-6-13
COMP1395;Leaf Essent. Oil;DOI:10.1186/1758-2946-6-13
COMP1395;Leaf;DOI:10.1186/1758-2946-6-13
COMP1395;Inflorescence;DOI:10.1186/1758-2946-6-13
COMP20;Plant;DOI:10.1186/1758-2946-6-13
COMP1143;Plant;DOI:10.1186/1758-2946-6-13
COMP1401;Plant;DOI:10.1186/1758-2946-6-13
COMP1411;Plant;DOI:10.1186/1758-2946-6-13
COMP1412;Plant;DOI:10.1186/1758-2946-6-13
COMP40;Plant;DOI:10.1186/1758-2946-6-13
COMP1413;Plant;DOI:10.1186/1758-2946-6-13
COMP266;Plant;DOI:10.1186/1758-2946-6-13
COMP670;Plant;DOI:10.1186/1758-2946-6-13
COMP1414;Plant;DOI:10.1186/1758-2946-6-13
COMP155;Plant;DOI:10.1186/1758-2946-6-13
COMP191;Plant;DOI:10.1186/1758-2946-6-13
COMP1415;Plant;DOI:10.1186/1758-2946-6-13
COMP16;Plant;DOI:10.1186/1758-2946-6-13
COMP352;Plant;DOI:10.1186/s12906-015-0758-5
COMP18;Plant;DOI:10.1186/s12906-015-0758-5
COMP16;Plant;DOI:10.1186/s12906-015-0758-5
COMP1402;Plant;DOI:10.1186/s12906-015-0758-5
COMP266;Plant;DOI:10.1186/s12906-015-0758-5
COMP1416;Seed;DOI:10.1186/s12906-015-0758-5
COMP54;Plant;DOI:10.1186/s12906-015-0758-5
COMP40;Plant;DOI:10.1186/s12906-015-0758-5
COMP41;Plant;DOI:10.1186/s12906-015-0758-5
COMP27;Plant;DOI:10.1186/s12906-015-0758-5
COMP1417;Plant;DOI:10.1186/s12906-015-0758-5
COMP1412;Plant;DOI:10.1186/s12906-015-0758-5
COMP20;Plant;DOI:10.1186/s12906-015-0758-5
COMP1418;Plant;DOI:10.1186/s12906-015-0758-5
COMP360;Plant;Database:UNPD
COMP990;Plant;Database:UNPD
COMP1419;Plant;Database:UNPD
COMP1420;Plant;Database:UNPD
COMP988;Plant;Database:UNPD
COMP987;Plant;Database:UNPD
COMP1421;Plant;Database:UNPD
